[['Node_index' 'parent_index']
 ['1' '0']
 ['2' '0']
 ['3' '1']
 ['4' '1']
 ['5' '2']
 ['6' '2']
 ['7' '3']
 ['8' '4']
 ['9' '4']
 ['10' '4']
 ['11' '5']
 ['12' '5']
 ['13' '5']
 ['14' '6']
 ['15' '7']
 ['16' '7']
 ['17' '8']
 ['18' '8']
 ['19' '9']
 ['20' '9']
 ['21' '10']
 ['22' '10']
 ['23' '11']
 ['24' '11']
 ['25' '12']
 ['26' '12']
 ['27' '13']
 ['28' '13']
 ['29' '14']
 ['30' '14']
 ['31' '15']
 ['32' '15']
 ['33' '15']
 ['34' '16']
 ['35' '17']
 ['36' '18']
 ['37' '19']
 ['38' '20']
 ['39' '21']
 ['40' '22']
 ['41' '23']
 ['42' '24']
 ['43' '25']
 ['44' '26']
 ['45' '27']
 ['46' '28']
 ['47' '29']
 ['48' '30']
 ['49' '30']
 ['50' '30']
 ['51' '31']
 ['52' '31']
 ['53' '32']
 ['54' '32']
 ['55' '33']
 ['56' '33']
 ['57' '34']
 ['58' '34']
 ['59' '35']
 ['60' '35']
 ['61' '36']
 ['62' '36']
 ['63' '37']
 ['64' '37']
 ['65' '38']
 ['66' '38']
 ['67' '39']
 ['68' '39']
 ['69' '40']
 ['70' '40']
 ['71' '41']
 ['72' '41']
 ['73' '42']
 ['74' '42']
 ['75' '43']
 ['76' '43']
 ['77' '44']
 ['78' '44']
 ['79' '45']
 ['80' '46']
 ['81' '46']
 ['82' '47']
 ['83' '47']
 ['84' '48']
 ['85' '48']
 ['86' '49']
 ['87' '49']]
